Date,O
2010-09-29,16.269182205200195
2010-09-30,16.240285873413086
2010-10-01,16.360685348510742
2010-10-04,16.47145652770996
2010-10-05,16.529264450073242
2010-10-06,16.53407096862793
2010-10-07,16.476274490356445
2010-10-08,16.48109245300293
2010-10-11,16.485912322998047
2010-10-12,16.596691131591797
2010-10-13,16.693002700805664
2010-10-14,16.509994506835938
2010-10-15,16.66893768310547
2010-10-18,16.89528465270996
2010-10-19,16.794143676757812
2010-10-20,17.16980743408203
2010-10-21,17.12646484375
2010-10-22,17.09276580810547
2010-10-25,17.09276580810547
2010-10-26,16.93381118774414
2010-10-27,16.9241943359375
2010-10-28,16.6456298828125
2010-10-29,16.577932357788086
2010-11-01,16.66014862060547
2010-11-02,16.558576583862305
2010-11-03,16.592430114746094
2010-11-04,16.988988876342773
