Date,EQIX
2010-09-29,77.7096176147461
2010-09-30,76.98747253417969
2010-10-01,77.35606384277344
2010-10-04,76.04722595214844
2010-10-05,79.04850006103516
2010-10-06,52.909610748291016
2010-10-07,56.41488265991211
2010-10-08,56.35470199584961
2010-10-11,54.872867584228516
2010-10-12,55.670196533203125
2010-10-13,55.873294830322266
2010-10-14,55.31666564941406
2010-10-15,55.617549896240234
2010-10-18,56.460018157958984
2010-10-19,56.7232666015625
2010-10-20,56.6856575012207
2010-10-21,55.86573791503906
2010-10-22,56.55026626586914
2010-10-25,56.264427185058594
2010-10-26,57.61084747314453
2010-10-27,62.43243408203125
2010-10-28,62.3271484375
2010-10-29,63.36516571044922
2010-11-01,62.34968566894531
2010-11-02,63.846614837646484
2010-11-03,63.50056838989258
2010-11-04,63.47049331665039
