Date,STX
2010-09-28,6.089745998382568
2010-09-29,6.256449222564697
2010-09-30,6.136632442474365
2010-10-01,6.089745998382568
2010-10-04,5.980349540710449
2010-10-05,6.214773654937744
2010-10-06,5.985560894012451
2010-10-07,6.183514595031738
2010-10-08,6.355427265167236
2010-10-11,6.407519340515137
2010-10-12,6.542964935302734
2010-10-13,6.641940116882324
2010-10-14,6.610683917999268
2010-10-15,8.07972526550293
2010-10-18,8.29331111907959
2010-10-19,7.944281101226807
2010-10-20,7.9234442710876465
2010-10-21,7.933864593505859
2010-10-22,7.907815456390381
2010-10-25,7.7150702476501465
2010-10-26,7.991165637969971
2010-10-27,7.928654670715332
2010-10-28,7.261851787567139
2010-10-29,7.662975311279297
2010-11-01,7.579625129699707
2010-11-02,7.704651355743408
2010-11-03,7.647348403930664
