Date,VLO
2010-09-29,9.55648422241211
2010-09-30,9.689285278320312
2010-10-01,9.766759872436523
2010-10-04,9.545413970947266
2010-10-05,9.728022575378418
2010-10-06,9.650552749633789
2010-10-07,9.777823448181152
2010-10-08,9.899564743041992
2010-10-11,10.010232925415039
2010-10-12,9.943833351135254
2010-10-13,10.104307174682617
2010-10-14,10.048968315124512
2010-10-15,10.015767097473145
2010-10-18,10.209444999694824
2010-10-19,9.982566833496094
2010-10-20,10.043437004089355
2010-10-21,9.788891792297363
2010-10-22,9.766759872436523
2010-10-25,9.833161354064941
2010-10-26,9.960436820983887
2010-10-27,10.0711030960083
2010-10-28,10.082170486450195
2010-10-29,9.932765007019043
2010-11-01,9.860828399658203
2010-11-02,9.960436820983887
2010-11-03,10.03790283203125
