Date,GOOGL
2010-09-29,13.126729965209961
2010-09-30,13.079466819763184
2010-10-01,13.075237274169922
2010-10-04,12.99389362335205
2010-10-05,13.388920783996582
2010-10-06,13.292403221130371
2010-10-07,13.184441566467285
2010-10-08,13.342153549194336
2010-10-11,13.404094696044922
2010-10-12,13.467529296875
2010-10-13,13.51504135131836
2010-10-14,13.456085205078125
2010-10-15,14.96157169342041
2010-10-18,15.366053581237793
2010-10-19,15.120280265808105
2010-10-20,15.124011039733887
2010-10-21,15.223762512207031
2010-10-22,15.237196922302246
2010-10-25,15.335952758789062
2010-10-26,15.388192176818848
2010-10-27,15.335206985473633
2010-10-28,15.3876953125
2010-10-29,15.266301155090332
2010-11-01,15.298639297485352
2010-11-02,15.31356430053711
2010-11-03,15.427495956420898
