Date,PPG
2010-09-29,27.9583740234375
2010-09-30,27.92001724243164
2010-10-01,28.031248092651367
2010-10-04,27.70524024963379
2010-10-05,28.3802547454834
2010-10-06,28.67171859741211
2010-10-07,28.5911922454834
2010-10-08,28.84431266784668
2010-10-11,28.76375389099121
2010-10-12,28.95551872253418
2010-10-13,29.239320755004883
2010-10-14,29.273832321166992
2010-10-15,29.442583084106445
2010-10-18,29.484766006469727
2010-10-19,29.059062957763672
2010-10-20,29.707210540771484
2010-10-21,29.404232025146484
2010-10-22,29.31220245361328
2010-10-25,29.657346725463867
2010-10-26,29.645864486694336
2010-10-27,29.442583084106445
2010-10-28,29.37739372253418
2010-10-29,29.415739059448242
2010-11-01,29.404232025146484
2010-11-02,29.7762508392334
2010-11-03,29.87213134765625
2010-11-04,30.347684860229492
