Date,EXR
2010-09-28,9.792701721191406
2010-09-29,9.762664794921875
2010-09-30,9.63650131225586
2010-10-01,9.714603424072266
2010-10-04,9.750649452209473
2010-10-05,10.051036834716797
2010-10-06,9.702584266662598
2010-10-07,9.60045337677002
2010-10-08,9.642507553100586
2010-10-11,9.612466812133789
2010-10-12,9.63650131225586
2010-10-13,9.840761184692383
2010-10-14,9.780684471130371
2010-10-15,9.612466812133789
2010-10-18,9.738630294799805
2010-10-19,9.576417922973633
2010-10-20,9.714603424072266
2010-10-21,9.678552627563477
2010-10-22,9.684562683105469
2010-10-25,9.750649452209473
2010-10-26,9.702584266662598
2010-10-27,9.516343116760254
2010-10-28,9.504327774047852
2010-10-29,9.732627868652344
2010-11-01,9.978940963745117
2010-11-02,10.129137992858887
2010-11-03,10.09308910369873
