Date,HRL
2012-04-19,10.573365211486816
2012-04-20,10.666634559631348
2012-04-23,10.524861335754395
2012-04-24,10.588289260864258
2012-04-25,10.644253730773926
2012-04-26,10.774833679199219
2012-04-27,10.827066421508789
2012-04-30,10.841991424560547
2012-05-01,10.808409690856934
2012-05-02,10.797218322753906
2012-05-03,10.718868255615234
2012-05-04,10.711408615112305
2012-05-07,10.793489456176758
2012-05-08,10.841991424560547
2012-05-09,10.927799224853516
2012-05-10,10.909144401550293
2012-05-11,10.860641479492188
2012-05-14,10.90168285369873
2012-05-15,10.980030059814453
2012-05-16,11.058381080627441
2012-05-17,10.983763694763184
2012-05-18,10.957647323608398
2012-05-21,10.924070358276367
2012-05-22,10.89049243927002
2012-05-23,11.009880065917969
2012-05-24,11.077034950256348
2012-05-25,11.248658180236816
2012-05-29,11.289694786071777
2012-05-30,11.207615852355957
2012-05-31,11.1591157913208
2012-06-01,10.950188636779785
2012-06-04,10.96511173248291
2012-06-05,10.924070358276367
2012-06-06,11.058381080627441
2012-06-07,11.024801254272461
2012-06-08,11.103154182434082
2012-06-11,11.043458938598633
2012-06-12,11.054649353027344
2012-06-13,11.01361083984375
2012-06-14,10.994954109191895
2012-06-15,11.077034950256348
2012-06-18,11.233733177185059
2012-06-19,11.285969734191895
2012-06-20,11.10688304901123
2012-06-21,10.912878036499023
2012-06-22,10.916608810424805
2012-06-25,10.864376068115234
2012-06-26,10.845724105834961
2012-06-27,11.006150245666504
2012-06-28,11.07330322265625
2012-06-29,11.34939193725586
2012-07-02,11.446392059326172
2012-07-03,11.405354499816895
2012-07-05,11.308353424072266
2012-07-06,11.174038887023926
2012-07-09,10.96137809753418
2012-07-10,10.793489456176758
2012-07-11,10.849451065063477
2012-07-12,10.68529224395752
2012-07-13,10.759909629821777
2012-07-16,10.689022064208984
2012-07-17,10.670369148254395
2012-07-18,10.74498462677002
2012-07-19,10.74123477935791
2012-07-20,10.613722801208496
2012-07-23,10.527462005615234
2012-07-24,10.467456817626953
2012-07-25,10.452452659606934
2012-07-26,10.4937105178833
2012-07-27,10.651226997375488
2012-07-30,10.583714485168457
2012-07-31,10.467456817626953
2012-08-01,10.373693466186523
2012-08-02,10.306182861328125
2012-08-03,10.501209259033203
2012-08-06,10.403695106506348
2012-08-07,10.414946556091309
2012-08-08,10.564966201782227
2012-08-09,10.598716735839844
2012-08-10,10.613722801208496
2012-08-13,10.579965591430664
2012-08-14,10.647475242614746
2012-08-15,10.707481384277344
2012-08-16,10.647475242614746
2012-08-17,10.74123477935791
2012-08-20,10.677477836608887
2012-08-21,10.692481994628906
2012-08-22,10.658724784851074
2012-08-23,10.808745384216309
2012-08-24,10.793737411499023
2012-08-27,10.74123477935791
2012-08-28,10.789993286132812
2012-08-29,10.771238327026367
2012-08-30,10.692481994628906
2012-08-31,10.771238327026367
2012-09-04,10.8462495803833
2012-09-05,10.72248363494873
2012-09-06,10.864998817443848
2012-09-07,10.891251564025879
2012-09-10,10.895003318786621
2012-09-11,10.902504920959473
2012-09-12,10.88750171661377
2012-09-13,10.95125961303711
2012-09-14,10.86875057220459
2012-09-17,10.943757057189941
2012-09-18,10.96251106262207
2012-09-19,11.01501750946045
2012-09-20,11.037519454956055
2012-09-21,10.966259002685547
2012-09-24,11.007518768310547
2012-09-25,10.88750171661377
2012-09-26,10.902504920959473
2012-09-27,10.958761215209961
2012-09-28,10.966259002685547
2012-10-01,11.078773498535156
2012-10-02,11.15753173828125
2012-10-03,11.086273193359375
2012-10-04,11.022517204284668
2012-10-05,11.04502010345459
2012-10-08,11.00001335144043
2012-10-09,10.891251564025879
2012-10-10,10.88750171661377
2012-10-11,10.921257972717285
2012-10-12,10.812491416931152
2012-10-15,10.898755073547363
2012-10-16,11.01501750946045
2012-10-17,11.120027542114258
2012-10-18,11.120027542114258
2012-10-19,10.893857955932617
2012-10-22,10.905165672302246
2012-10-23,10.792083740234375
2012-10-24,10.78077220916748
2012-10-25,11.040868759155273
2012-10-26,11.059715270996094
2012-10-31,11.131340026855469
2012-11-01,11.327352523803711
2012-11-02,11.214265823364258
2012-11-05,11.25949764251709
2012-11-06,11.334891319274902
2012-11-07,11.214265823364258
2012-11-08,11.15395450592041
2012-11-09,11.161493301391602
2012-11-12,11.285886764526367
2012-11-13,11.414050102233887
2012-11-14,11.406510353088379
2012-11-15,11.538443565368652
2012-11-16,11.63645076751709
2012-11-19,11.798537254333496
2012-11-20,11.327352523803711
2012-11-21,11.474359512329102
2012-11-23,11.549750328063965
2012-11-26,11.493209838867188
2012-11-27,11.515824317932129
2012-11-28,11.57613754272461
2012-11-29,11.625140190124512
2012-11-30,11.689226150512695
2012-12-03,11.689226150512695
2012-12-04,11.6779146194458
2012-12-05,11.69299030303955
2012-12-06,11.69299030303955
2012-12-07,11.696763038635254
2012-12-10,11.625140190124512
2012-12-11,11.708072662353516
2012-12-12,11.704301834106445
2012-12-13,11.745767593383789
2012-12-14,11.723152160644531
2012-12-17,11.832463264465332
2012-12-18,11.889005661010742
2012-12-19,11.809847831726074
2012-12-20,11.817389488220215
2012-12-21,11.681684494018555
2012-12-24,11.704301834106445
2012-12-26,11.57613754272461
2012-12-27,11.579907417297363
2012-12-28,11.564827919006348
2012-12-31,11.764616012573242
2013-01-02,12.06617546081543
2013-01-03,12.514741897583008
2013-01-04,12.93315601348877
2013-01-07,12.872845649719238
2013-01-08,12.93315601348877
2013-01-09,13.008548736572266
2013-01-10,13.004782676696777
2013-01-11,13.001008033752441
2013-01-14,12.952007293701172
2013-01-15,12.985933303833008
2013-01-16,12.974620819091797
2013-01-17,13.061752319335938
2013-01-18,13.141304016113281
2013-01-22,13.21328067779541
2013-01-23,13.228432655334473
2013-01-24,13.3610200881958
2013-01-25,13.38753604888916
2013-01-28,13.315561294555664
2013-01-29,13.262524604797363
2013-01-30,13.21706771850586
2013-01-31,13.110998153686523
2013-02-01,13.417842864990234
2013-02-04,13.296626091003418
2013-02-05,13.421630859375
2013-02-06,13.463300704956055
2013-02-07,13.478453636169434
2013-02-08,13.573163032531738
2013-02-11,13.497397422790527
2013-02-12,13.497397422790527
2013-02-13,13.576948165893555
2013-02-14,13.603466033935547
2013-02-15,13.667867660522461
2013-02-19,13.842119216918945
2013-02-20,13.683018684387207
2013-02-21,13.830759048461914
2013-02-22,14.065624237060547
2013-02-25,13.849699974060059
2013-02-26,14.016383171081543
2013-02-27,14.148970603942871
2013-02-28,14.171698570251465
2013-03-01,14.194428443908691
2013-03-04,14.387626647949219
2013-03-05,14.459596633911133
2013-03-06,14.425507545471191
2013-03-07,14.497483253479004
2013-03-08,14.603555679321289
2013-03-11,14.595978736877441
2013-03-12,14.614920616149902
2013-03-13,14.93313217163086
2013-03-14,14.766449928283691
2013-03-15,14.880088806152344
2013-03-18,14.774022102355957
2013-03-19,14.974801063537598
2013-03-20,15.073293685913086
2013-03-21,14.91039752960205
2013-03-22,15.024043083190918
2013-03-25,15.024043083190918
2013-03-26,15.20966911315918
2013-03-27,15.20966911315918
2013-03-28,15.652892112731934
2013-04-01,15.425594329833984
2013-04-02,15.527875900268555
2013-04-03,15.323308944702148
2013-04-04,15.323308944702148
2013-04-05,15.18693733215332
2013-04-08,15.266496658325195
2013-04-09,15.221031188964844
2013-04-10,15.395291328430176
2013-04-11,15.440747261047363
2013-04-12,15.505146026611328
2013-04-15,15.300585746765137
2013-04-16,15.554389953613281
2013-04-17,15.497570991516113
2013-04-18,15.497573852539062
2013-04-19,15.676362037658691
2013-04-22,15.65353775024414
2013-04-23,15.919820785522461
2013-04-24,15.687775611877441
2013-04-25,15.748636245727539
2013-04-26,15.676362037658691
2013-04-29,15.687775611877441
2013-04-30,15.699187278747559
2013-05-01,15.661139488220215
2013-05-02,15.984488487243652
2013-05-03,15.877972602844238
2013-05-06,15.752440452575684
2013-05-07,15.858951568603516
2013-05-08,15.744844436645508
2013-05-09,15.695375442504883
2013-05-10,15.779068946838379
2013-05-13,15.999709129333496
2013-05-14,16.3154354095459
2013-05-15,16.36868667602539
2013-05-16,16.21653175354004
2013-05-17,16.2431583404541
2013-05-20,16.17469024658203
2013-05-21,16.20892333984375
2013-05-22,16.1290340423584
2013-05-23,15.695375442504883
2013-05-24,15.798089027404785
2013-05-28,15.85515308380127
2013-05-29,15.53181266784668
2013-05-30,15.417686462402344
2013-05-31,15.147603988647461
2013-06-03,15.132383346557617
2013-06-04,15.139992713928223
2013-06-05,14.858495712280273
2013-06-06,14.790024757385254
2013-06-07,15.063910484313965
2013-06-10,15.067720413208008
2013-06-11,15.079130172729492
2013-06-12,15.025869369506836
2013-06-13,15.147603988647461
2013-06-14,15.265524864196777
2013-06-17,15.463339805603027
2013-06-18,14.907950401306152
2013-06-19,14.786223411560059
2013-06-20,14.310714721679688
2013-06-21,14.417232513427734
2013-06-24,14.447663307189941
2013-06-25,14.493308067321777
2013-06-26,14.656885147094727
2013-06-27,14.698725700378418
2013-06-28,14.67590618133545
2013-07-01,14.9459867477417
2013-07-02,14.839478492736816
2013-07-03,14.672098159790039
2013-07-05,14.877517700195312
2013-07-08,15.052502632141113
2013-07-09,15.128580093383789
2013-07-10,15.136191368103027
2013-07-11,15.448119163513184
2013-07-12,15.588862419128418
2013-07-15,15.676362037658691
2013-07-16,15.752440452575684
2013-07-17,15.657341957092285
2013-07-18,15.706991195678711
2013-07-19,15.802495956420898
2013-07-22,15.76811408996582
2013-07-23,15.81777286529541
2013-07-24,15.72227954864502
2013-07-25,15.77957534790039
2013-07-26,15.829230308532715
2013-07-29,16.134809494018555
2013-07-30,16.069875717163086
2013-07-31,16.176828384399414
2013-08-01,16.41366195678711
2013-08-02,16.436574935913086
2013-08-05,16.50151824951172
2013-08-06,16.57027244567871
2013-08-07,16.467144012451172
2013-08-08,16.50151824951172
2013-08-09,16.497699737548828
2013-08-12,16.574092864990234
2013-08-13,16.73451805114746
2013-08-14,16.585548400878906
2013-08-15,16.321989059448242
2013-08-16,16.344907760620117
2013-08-19,16.226491928100586
2013-08-20,16.341083526611328
2013-08-21,16.08515739440918
2013-08-22,16.32962989807129
2013-08-23,16.314348220825195
2013-08-26,16.03168296813965
2013-08-27,15.77957534790039
2013-08-28,15.634420394897461
2013-08-29,15.787215232849121
2013-08-30,15.825414657592773
2013-09-03,15.760470390319824
2013-09-04,16.01641082763672
2013-09-05,15.970565795898438
2013-09-06,16.12335777282715
2013-09-09,16.138629913330078
2013-09-10,16.211210250854492
2013-09-11,16.344907760620117
2013-09-12,16.31052589416504
2013-09-13,16.337268829345703
2013-09-16,16.467144012451172
2013-09-17,16.516796112060547
2013-09-18,16.852935791015625
2013-09-19,16.787996292114258
2013-09-20,16.730695724487305
2013-09-23,16.600828170776367
2013-09-24,16.478595733642578
2013-09-25,16.2876033782959
2013-09-26,16.302894592285156
2013-09-27,16.153913497924805
2013-09-30,16.088979721069336
2013-10-01,16.19974708557129
2013-10-02,16.12335777282715
2013-10-03,15.943822860717773
2013-10-04,16.054595947265625
2013-10-07,15.959099769592285
2013-10-08,15.878888130187988
2013-10-09,15.966742515563965
2013-10-10,16.371639251708984
2013-10-11,16.463314056396484
2013-10-14,16.41366195678711
2013-10-15,16.276147842407227
2013-10-16,16.516796112060547
2013-10-17,16.63567543029785
2013-10-18,16.512964248657227
2013-10-21,16.44776725769043
2013-10-22,16.67402458190918
2013-10-23,16.766054153442383
2013-10-24,16.781400680541992
2013-10-25,16.727710723876953
2013-10-28,16.700864791870117
2013-10-29,16.915620803833008
2013-10-30,16.754560470581055
2013-10-31,16.666357040405273
2013-11-01,16.624170303344727
2013-11-04,16.55897331237793
2013-11-05,16.68936538696289
2013-11-06,16.82358169555664
2013-11-07,16.470775604248047
2013-11-08,16.5666446685791
2013-11-11,16.46310806274414
2013-11-12,16.470775604248047
2013-11-13,16.654848098754883
2013-11-14,16.781400680541992
2013-11-15,16.83891487121582
2013-11-18,16.781400680541992
2013-11-19,16.643346786499023
2013-11-20,16.194664001464844
2013-11-21,16.417089462280273
2013-11-22,16.451595306396484
2013-11-25,16.27519416809082
2013-11-26,17.237754821777344
2013-11-27,17.2684326171875
2013-11-29,17.264596939086914
2013-12-02,17.56370735168457
2013-12-03,17.632741928100586
2013-12-04,17.598234176635742
2013-12-05,17.2876033782959
2013-12-06,17.567546844482422
2013-12-09,17.640417098999023
2013-12-10,17.345125198364258
2013-12-11,17.253093719482422
2013-12-12,17.103532791137695
2013-12-13,16.94246482849121
2013-12-16,16.98081398010254
2013-12-17,16.934799194335938
2013-12-18,17.199398040771484
2013-12-19,17.24925422668457
2013-12-20,17.153377532958984
2013-12-23,17.18022918701172
2013-12-24,17.203235626220703
2013-12-26,17.191736221313477
2013-12-27,17.18790054321289
2013-12-30,17.306779861450195
2013-12-31,17.32211685180664
2014-01-02,17.115034103393555
2014-01-03,17.222414016723633
2014-01-06,17.1763916015625
2014-01-07,17.368133544921875
2014-01-08,17.18022918701172
2014-01-09,17.29910659790039
2014-01-10,17.479347229003906
2014-01-13,17.29910659790039
2014-01-14,17.805309295654297
2014-01-15,17.782306671142578
2014-01-16,17.885839462280273
2014-01-17,17.658611297607422
2014-01-21,17.68941879272461
2014-01-22,17.693269729614258
2014-01-23,17.558473587036133
2014-01-24,17.385162353515625
2014-01-27,17.531517028808594
2014-01-28,17.616243362426758
2014-01-29,17.084753036499023
2014-01-30,17.358205795288086
2014-01-31,17.500699996948242
2014-02-03,16.738128662109375
2014-02-04,16.614887237548828
2014-02-05,16.59947395324707
2014-02-06,16.71502113342285
2014-02-07,16.857519149780273
2014-02-10,16.81900978088379
2014-02-11,17.096311569213867
2014-02-12,17.06549835205078
2014-02-13,17.246509552001953
2014-02-14,17.39286994934082
2014-02-18,17.389015197753906
2014-02-19,17.45063591003418
2014-02-20,17.7895565032959
2014-02-21,17.989831924438477
2014-02-24,18.082263946533203
2014-02-25,18.05915641784668
2014-02-26,18.09381866455078
2014-02-27,18.1669921875
2014-02-28,18.27483367919922
2014-03-03,18.120779037475586
2014-03-04,18.35186195373535
2014-03-05,18.432735443115234
2014-03-06,18.220916748046875
2014-03-07,18.209354400634766
2014-03-10,18.255573272705078
2014-03-11,18.09381866455078
2014-03-12,18.18239974975586
2014-03-13,18.009090423583984
2014-03-14,18.15159034729004
2014-03-17,18.1669921875
2014-03-18,18.30564308166504
2014-03-19,18.178552627563477
2014-03-20,18.24017333984375
2014-03-21,18.217063903808594
2014-03-24,18.270980834960938
2014-03-25,18.459699630737305
2014-03-26,18.575244903564453
2014-03-27,18.56368637084961
2014-03-28,18.640718460083008
2014-03-31,18.975788116455078
2014-04-01,18.83328628540039
2014-04-02,18.663816452026367
2014-04-03,18.617603302001953
2014-04-04,18.421192169189453
2014-04-07,18.50592041015625
2014-04-08,18.475107192993164
2014-04-09,18.471256256103516
2014-04-10,18.19780921936035
2014-04-11,18.0899658203125
2014-04-14,18.301790237426758
2014-04-15,18.232471466064453
2014-04-16,18.449064254760742
2014-04-17,18.480003356933594
2014-04-21,18.472270965576172
2014-04-22,18.526418685913086
2014-04-23,18.53801727294922
2014-04-24,18.410383224487305
2014-04-25,18.429723739624023
2014-04-28,18.53801727294922
2014-04-29,18.325292587280273
2014-04-30,18.44519805908203
2014-05-01,18.414255142211914
2014-05-02,18.553485870361328
2014-05-05,18.452932357788086
2014-05-06,18.290485382080078
2014-05-07,18.63083839416504
2014-05-08,18.654050827026367
2014-05-09,18.843570709228516
2014-05-12,18.905454635620117
2014-05-13,19.08336639404297
2014-05-14,18.874509811401367
2014-05-15,18.84743881225586
2014-05-16,18.93639373779297
2014-05-19,18.978939056396484
2014-05-20,18.770082473754883
2014-05-21,18.232463836669922
2014-05-22,17.911447525024414
2014-05-23,18.046817779541016
2014-05-27,18.48773956298828
2014-05-28,18.452932357788086
2014-05-29,18.83970069885254
2014-05-30,19.03308868408203
2014-06-02,19.064023971557617
2014-06-03,19.14138412475586
2014-06-04,19.176197052001953
2014-06-05,19.125911712646484
2014-06-06,19.056297302246094
2014-06-09,19.17232894897461
2014-06-10,19.056297302246094
2014-06-11,18.785552978515625
2014-06-12,18.692733764648438
2014-06-13,18.619243621826172
2014-06-16,18.723670959472656
2014-06-17,18.766216278076172
2014-06-18,18.955732345581055
2014-06-19,19.15298843383789
2014-06-20,19.245813369750977
2014-06-23,19.025354385375977
2014-06-24,18.889984130859375
2014-06-25,18.804889678955078
2014-06-26,18.793283462524414
2014-06-27,18.971202850341797
2014-06-30,19.08723258972168
2014-07-01,19.025354385375977
2014-07-02,18.70433235168457
2014-07-03,18.74688148498535
2014-07-07,18.978939056396484
2014-07-08,18.940265655517578
