Date,BLK
2010-09-29,115.10326385498047
2010-09-30,116.1195297241211
2010-10-01,116.86298370361328
2010-10-04,116.56970977783203
2010-10-05,116.842529296875
2010-10-06,116.86975860595703
2010-10-07,116.59693908691406
2010-10-08,119.01827239990234
2010-10-11,120.88705444335938
2010-10-12,121.82150268554688
2010-10-13,122.25118255615234
2010-10-14,121.23492431640625
2010-10-15,119.86399841308594
2010-10-18,120.38231658935547
2010-10-19,119.10693359375
2010-10-20,115.61478424072266
2010-10-21,113.39813995361328
2010-10-22,114.28485107421875
2010-10-25,114.85089111328125
2010-10-26,115.0078353881836
2010-10-27,114.92591857910156
2010-10-28,114.6736068725586
2010-10-29,116.62428283691406
2010-11-01,117.21080780029297
2010-11-02,118.02246856689453
2010-11-03,112.98887634277344
2010-11-04,115.2737808227539
