Date,USB
2010-09-29,13.7168550491333
2010-09-30,13.68520450592041
2010-10-01,13.742173194885254
2010-10-04,13.68520450592041
2010-10-05,14.140955924987793
2010-10-06,14.185270309448242
2010-10-07,14.153617858886719
2010-10-08,14.121969223022461
2010-10-11,14.08398723602295
2010-10-12,14.482766151428223
2010-10-13,14.470109939575195
2010-10-14,14.286547660827637
2010-10-15,14.267560005187988
2010-10-18,14.660011291503906
2010-10-19,14.438461303710938
2010-10-20,14.45112133026123
2010-10-21,14.786608695983887
2010-10-22,14.932198524475098
2010-10-25,14.856236457824707
2010-10-26,15.153742790222168
2010-10-27,15.406932830810547
2010-10-28,15.305659294128418
2010-10-29,15.318319320678711
2010-11-01,15.147412300109863
2010-11-02,15.065130233764648
2010-11-03,15.223372459411621
2010-11-04,15.925983428955078
