Date,OKE
2010-09-29,8.751441955566406
2010-09-30,8.851673126220703
2010-10-01,8.969588279724121
2010-10-04,9.001030921936035
2010-10-05,9.38623332977295
2010-10-06,9.33316707611084
2010-10-07,9.40588092803955
2010-10-08,9.458946228027344
2010-10-11,9.470736503601074
2010-10-12,9.474668502807617
2010-10-13,9.590620994567871
2010-10-14,9.604377746582031
2010-10-15,9.694779396057129
2010-10-18,9.72229290008545
2010-10-19,9.50218391418457
2010-10-20,9.669233322143555
2010-10-21,9.673162460327148
2010-10-22,9.846105575561523
2010-10-25,9.859868049621582
2010-10-26,9.842179298400879
2010-10-27,9.85805606842041
2010-10-28,9.854082107543945
2010-10-29,9.88582992553711
2010-11-01,9.895753860473633
2010-11-02,9.989020347595215
2010-11-03,9.994970321655273
