Date,NKE
2010-09-29,16.603740692138672
2010-09-30,16.647371292114258
2010-10-01,16.670217514038086
2010-10-04,16.593364715576172
2010-10-05,16.888338088989258
2010-10-06,16.890417098999023
2010-10-07,16.823944091796875
2010-10-08,17.042064666748047
2010-10-11,17.029598236083984
2010-10-12,17.01090431213379
2010-10-13,17.037899017333984
2010-10-14,16.985963821411133
2010-10-15,17.033748626708984
2010-10-18,16.96312141418457
2010-10-19,16.76993751525879
2010-10-20,16.875873565673828
2010-10-21,17.056594848632812
2010-10-22,17.017122268676758
2010-10-25,17.044139862060547
2010-10-26,16.99635124206543
2010-10-27,16.832250595092773
2010-10-28,16.848865509033203
2010-10-29,16.91741943359375
2010-11-01,16.846792221069336
2010-11-02,16.981813430786133
2010-11-03,16.998437881469727
