Date,TXN
2010-09-29,18.098371505737305
2010-09-30,18.300668716430664
2010-10-01,18.374835968017578
2010-10-04,18.347867965698242
2010-10-05,19.10308837890625
2010-10-06,19.0896053314209
2010-10-07,18.974966049194336
2010-10-08,19.372817993164062
2010-10-11,19.39978790283203
2010-10-12,19.339094161987305
2010-10-13,18.961490631103516
2010-10-14,19.0896053314209
2010-10-15,19.366065979003906
2010-10-18,19.12332534790039
2010-10-19,18.90079689025879
2010-10-20,18.94125747680664
2010-10-21,19.028919219970703
2010-10-22,19.325613021850586
2010-10-25,19.541385650634766
2010-10-26,19.473962783813477
2010-10-27,19.85157012939453
2010-10-28,19.804155349731445
2010-10-29,20.027664184570312
2010-11-01,19.939617156982422
2010-11-02,20.04798698425293
2010-11-03,20.318904876708984
2010-11-04,20.826881408691406
