Date,AMGN
2010-09-29,37.990875244140625
2010-09-30,38.108436584472656
2010-10-01,38.38502883911133
2010-10-04,38.06694793701172
2010-10-05,38.806854248046875
2010-10-06,38.606319427490234
2010-10-07,38.69622039794922
2010-10-08,38.99355697631836
2010-10-11,38.79301071166992
2010-10-12,38.68238067626953
2010-10-13,38.37120819091797
2010-10-14,37.93556213378906
2010-10-15,39.21482467651367
2010-10-18,40.07920837402344
2010-10-19,39.64356994628906
2010-10-20,39.9201545715332
2010-10-21,39.844112396240234
2010-10-22,39.79570007324219
2010-10-25,40.072296142578125
2010-10-26,39.59517288208008
2010-10-27,39.43611526489258
2010-10-28,39.60206604003906
2010-10-29,39.5467529296875
2010-11-01,39.712703704833984
2010-11-02,39.650474548339844
2010-11-03,39.62283706665039
2010-11-04,38.73078536987305
