Date,ORCL
2010-09-29,22.115711212158203
2010-09-30,21.855241775512695
2010-10-01,22.17268943786621
2010-10-04,21.936199188232422
2010-10-05,22.26239013671875
2010-10-06,22.490713119506836
2010-10-07,22.580425262451172
2010-10-08,22.833227157592773
2010-10-11,22.710905075073242
2010-10-12,22.792451858520508
2010-10-13,23.322505950927734
2010-10-14,23.102325439453125
2010-10-15,23.56714630126953
2010-10-18,23.836252212524414
2010-10-19,23.754709243774414
2010-10-20,23.355127334594727
2010-10-21,23.501909255981445
2010-10-22,23.640548706054688
2010-10-25,23.51822280883789
2010-10-26,23.34696388244629
2010-10-27,23.40404510498047
2010-10-28,23.9422664642334
2010-10-29,23.95857048034668
2010-11-01,23.754709243774414
2010-11-02,24.080902099609375
2010-11-03,23.811790466308594
