Date,NUE
2016-11-10,48.60625457763672
2016-11-11,48.28570556640625
2016-11-14,48.984317779541016
2016-11-15,49.584285736083984
2016-11-16,49.189788818359375
2016-11-17,48.86104202270508
2016-11-18,48.35968780517578
2016-11-21,49.03364181518555
2016-11-22,51.21163558959961
2016-11-23,51.375999450683594
2016-11-25,51.655433654785156
2016-11-28,50.93217849731445
2016-11-29,50.65275192260742
2016-11-30,51.11299133300781
2016-12-01,50.915733337402344
2016-12-02,51.80337142944336
2016-12-05,53.504676818847656
2016-12-06,53.899192810058594
2016-12-07,54.86079025268555
2016-12-08,54.58135986328125
2016-12-09,53.72658157348633
2016-12-12,52.68279266357422
2016-12-13,52.132137298583984
2016-12-14,51.81159210205078
2016-12-15,51.671875
2016-12-16,49.8473014831543
2016-12-19,49.7486686706543
2016-12-20,51.05546569824219
2016-12-21,51.071903228759766
2016-12-22,50.65275192260742
2016-12-23,50.53769302368164
2016-12-27,50.84999465942383
2016-12-28,50.37698745727539
2016-12-29,50.385250091552734
2016-12-30,49.21927261352539
2017-01-03,49.29370880126953
2017-01-04,50.649864196777344
2017-01-05,50.360450744628906
2017-01-06,49.85602569580078
2017-01-09,49.318504333496094
2017-01-10,50.625064849853516
2017-01-11,50.600257873535156
2017-01-12,50.120628356933594
2017-01-13,49.92215347290039
2017-01-17,49.73197555541992
2017-01-18,51.58431625366211
2017-01-19,49.74024200439453
2017-01-20,50.43486785888672
2017-01-23,49.66581726074219
2017-01-24,50.37698745727539
2017-01-25,49.37638854980469
2017-01-26,50.20331573486328
2017-01-27,50.4514045715332
2017-01-30,49.69890594482422
2017-01-31,48.036746978759766
2017-02-01,47.0775032043457
2017-02-02,47.54059600830078
2017-02-03,47.42483139038086
2017-02-06,47.838287353515625
2017-02-07,47.67290496826172
2017-02-08,48.193870544433594
2017-02-09,50.418331146240234
2017-02-10,50.43486785888672
2017-02-13,52.58490753173828
2017-02-14,52.17143630981445
2017-02-15,52.81645584106445
2017-02-16,52.60144805908203
2017-02-17,52.84125900268555
2017-02-21,53.329158782958984
2017-02-22,52.29548263549805
2017-02-23,50.3521842956543
2017-02-24,50.327369689941406
2017-02-27,51.79931640625
2017-02-28,51.74142074584961
2017-03-01,52.932228088378906
2017-03-02,51.79931640625
2017-03-03,51.79931640625
2017-03-06,51.939903259277344
2017-03-07,50.385250091552734
2017-03-08,50.418331146240234
2017-03-09,50.06275177001953
2017-03-10,50.12890625
2017-03-13,50.20331573486328
2017-03-14,50.21987533569336
2017-03-15,52.469139099121094
2017-03-16,53.420127868652344
2017-03-17,53.519344329833984
2017-03-20,53.47800064086914
2017-03-21,50.71603012084961
2017-03-22,51.38584899902344
2017-03-23,50.65814208984375
2017-03-24,49.4177360534668
2017-03-27,49.2027473449707
2017-03-28,49.789859771728516
2017-03-29,49.73826217651367
2017-03-30,50.01288986206055
2017-03-31,49.696659088134766
2017-04-03,50.10441589355469
2017-04-04,50.33743667602539
2017-04-05,49.696659088134766
2017-04-06,50.021202087402344
2017-04-07,50.57042694091797
2017-04-10,49.99623489379883
2017-04-11,50.34574508666992
2017-04-12,48.16547393798828
2017-04-13,47.3998908996582
2017-04-17,47.60792922973633
2017-04-18,47.707801818847656
2017-04-19,47.94912338256836
2017-04-20,50.220924377441406
2017-04-21,49.929664611816406
2017-04-24,50.9116096496582
2017-04-25,50.711891174316406
2017-04-26,51.5939826965332
2017-04-27,51.269439697265625
2017-04-28,51.03643798828125
2017-05-01,51.352657318115234
2017-05-02,51.344329833984375
2017-05-03,50.16267013549805
2017-05-04,50.83671569824219
2017-05-05,50.32076644897461
2017-05-08,49.821475982666016
2017-05-09,48.931060791015625
2017-05-10,48.440093994140625
2017-05-11,47.87423324584961
2017-05-12,47.69948196411133
2017-05-15,47.940792083740234
2017-05-16,48.08226013183594
2017-05-17,46.700870513916016
2017-05-18,46.50116729736328
2017-05-19,47.15024185180664
2017-05-22,47.23345947265625
2017-05-23,48.797935485839844
2017-05-24,48.80624008178711
2017-05-25,48.573246002197266
2017-05-26,48.39017105102539
2017-05-30,48.53996276855469
2017-05-31,48.34855270385742
2017-06-01,49.1557502746582
2017-06-02,48.84785461425781
2017-06-05,49.07253646850586
2017-06-06,48.107234954833984
2017-06-07,47.60792922973633
2017-06-08,49.21401596069336
2017-06-09,49.754913330078125
2017-06-12,49.84645462036133
2017-06-13,50.33743667602539
2017-06-14,49.18903732299805
2017-06-15,45.43600082397461
2017-06-16,45.702293395996094
2017-06-19,46.43458938598633
2017-06-20,46.709205627441406
2017-06-21,46.576045989990234
2017-06-22,47.18353271484375
2017-06-23,47.84925842285156
2017-06-26,47.77436065673828
2017-06-27,47.316680908203125
2017-06-28,48.73076629638672
2017-06-29,48.73076629638672
2017-06-30,48.47945022583008
2017-07-03,49.31718444824219
2017-07-05,49.56011962890625
2017-07-06,49.58525466918945
2017-07-07,48.75589370727539
2017-07-10,49.183135986328125
2017-07-11,49.09099197387695
2017-07-12,49.37582015991211
2017-07-13,50.68267822265625
2017-07-14,50.02925491333008
2017-07-17,50.36433792114258
2017-07-18,49.71928787231445
2017-07-19,50.81671142578125
2017-07-20,50.196781158447266
2017-07-21,50.45649719238281
2017-07-24,50.69105911254883
2017-07-25,51.03452682495117
2017-07-26,48.688880920410156
2017-07-27,49.149627685546875
2017-07-28,48.135990142822266
2017-07-31,48.31189727783203
2017-08-01,47.87629699707031
2017-08-02,47.65009689331055
2017-08-03,47.8427734375
2017-08-04,48.152732849121094
2017-08-07,48.471065521240234
2017-08-08,48.21138381958008
2017-08-09,47.8679084777832
2017-08-10,47.365264892578125
2017-08-11,46.3851203918457
2017-08-14,46.67832565307617
2017-08-15,46.55267333984375
2017-08-16,47.52444076538086
2017-08-17,45.53064727783203
2017-08-18,45.329586029052734
2017-08-21,45.0112419128418
2017-08-22,45.78196716308594
2017-08-23,45.99976348876953
2017-08-24,45.73169708251953
2017-08-25,45.83221435546875
2017-08-28,45.72331237792969
2017-08-29,46.016517639160156
2017-08-30,46.644813537597656
2017-08-31,46.16731643676758
2017-09-01,46.494022369384766
2017-09-05,45.89923095703125
2017-09-06,46.33485794067383
2017-09-07,45.455238342285156
2017-09-08,45.698184967041016
2017-09-11,45.212303161621094
2017-09-12,44.801815032958984
2017-09-13,44.90233612060547
2017-09-14,45.203922271728516
2017-09-15,44.818580627441406
2017-09-18,45.463619232177734
2017-09-19,46.16731643676758
2017-09-20,46.896141052246094
2017-09-21,45.6646842956543
2017-09-22,45.681419372558594
2017-09-25,45.488739013671875
2017-09-26,45.31282424926758
2017-09-27,46.586185455322266
2017-09-28,46.80379104614258
