Date,AIG
2010-09-29,23.801382064819336
2010-09-30,24.85003089904785
2010-10-01,24.697509765625
2010-10-04,24.964435577392578
2010-10-05,25.383893966674805
2010-10-06,25.89234161376953
2010-10-07,25.720739364624023
2010-10-08,26.0003719329834
2010-10-11,26.083003997802734
2010-10-12,26.553325653076172
2010-10-13,27.144372940063477
2010-10-14,26.654993057250977
2010-10-15,26.356290817260742
2010-10-18,26.858373641967773
2010-10-19,26.06394386291504
2010-10-20,26.445266723632812
2010-10-21,26.23554229736328
2010-10-22,26.413488388061523
2010-10-25,26.121139526367188
2010-10-26,26.71219825744629
2010-10-27,26.578739166259766
2010-10-28,26.68042755126953
2010-10-29,26.699480056762695
2010-11-01,26.642301559448242
2010-11-02,26.769397735595703
2010-11-03,27.690950393676758
2010-11-04,28.43454933166504
