Date,BRO
2010-09-28,8.41517162322998
2010-09-29,8.492096900939941
2010-09-30,8.628862380981445
2010-10-01,8.620317459106445
2010-10-04,8.530561447143555
2010-10-05,8.663052558898926
2010-10-06,8.705790519714355
2010-10-07,8.735709190368652
2010-10-08,8.68015193939209
2010-10-11,8.684423446655273
2010-10-12,8.74852466583252
2010-10-13,8.842554092407227
2010-10-14,8.808363914489746
2010-10-15,8.863922119140625
2010-10-18,8.859647750854492
2010-10-19,9.188735008239746
2010-10-20,9.29131031036377
2010-10-21,9.29557991027832
2010-10-22,9.440890312194824
2010-10-25,9.432340621948242
2010-10-26,9.517820358276367
2010-10-27,9.547737121582031
2010-10-28,9.556282997131348
2010-10-29,9.526368141174316
2010-11-01,9.53494644165039
2010-11-02,9.526363372802734
