Date,BK
2010-09-29,18.135108947753906
2010-09-30,18.37418556213379
2010-10-01,18.52185821533203
2010-10-04,18.430444717407227
2010-10-05,18.606239318847656
2010-10-06,18.85234832763672
2010-10-07,18.606239318847656
2010-10-08,18.662498474121094
2010-10-11,18.676563262939453
2010-10-12,18.690628051757812
2010-10-13,18.725780487060547
2010-10-14,18.360122680664062
2010-10-15,18.170272827148438
2010-10-18,18.718751907348633
2010-10-19,18.275741577148438
2010-10-20,17.966339111328125
2010-10-21,17.931184768676758
2010-10-22,17.769454956054688
2010-10-25,17.53036880493164
2010-10-26,17.600692749023438
2010-10-27,17.798290252685547
2010-10-28,17.763002395629883
2010-10-29,17.685367584228516
2010-11-01,17.67832374572754
2010-11-02,17.699491500854492
2010-11-03,18.179380416870117
2010-11-04,18.701614379882812
