Date,SBAC
2010-09-29,37.61637878417969
2010-09-30,37.61637878417969
2010-10-01,37.59771728515625
2010-10-04,37.541717529296875
2010-10-05,38.05508804321289
2010-10-06,37.8310661315918
2010-10-07,38.09242248535156
2010-10-08,38.2324333190918
2010-10-11,38.15776062011719
2010-10-12,38.008419036865234
2010-10-13,38.204429626464844
2010-10-14,37.84040832519531
2010-10-15,37.233680725097656
2010-10-18,36.860328674316406
2010-10-19,36.51496124267578
2010-10-20,36.86966323852539
2010-10-21,36.3656120300293
2010-10-22,36.40294647216797
2010-10-25,36.636295318603516
2010-10-26,36.85098648071289
2010-10-27,36.589630126953125
2010-10-28,37.37369918823242
2010-10-29,36.64564514160156
2010-11-01,36.77632141113281
2010-11-02,36.81364440917969
2010-11-03,36.636295318603516
2010-11-04,36.533634185791016
