Date,JBL
2010-09-29,12.221760749816895
2010-09-30,12.28142261505127
2010-10-01,12.187671661376953
2010-10-04,12.400741577148438
2010-10-05,12.903589248657227
2010-10-06,12.571199417114258
2010-10-07,12.400741577148438
2010-10-08,12.537107467651367
2010-10-11,12.417789459228516
2010-10-12,12.520063400268555
2010-10-13,12.80132007598877
2010-10-14,12.545629501342773
2010-10-15,12.571199417114258
2010-10-18,12.647907257080078
2010-10-19,12.008687019348145
2010-10-20,12.196197509765625
2010-10-21,12.10244083404541
2010-10-22,12.085397720336914
2010-10-25,12.315513610839844
2010-10-26,12.196197509765625
2010-10-27,12.196197509765625
2010-10-28,12.716082572937012
2010-10-29,13.074051856994629
2010-11-01,12.707568168640137
2010-11-02,12.784271240234375
2010-11-03,12.57972526550293
