Date,CTAS
2010-09-27,5.606463432312012
2010-09-28,5.637234210968018
2010-09-29,5.631080627441406
2010-09-30,5.651594638824463
2010-10-01,5.637234210968018
2010-10-04,5.571589946746826
2010-10-05,5.670056343078613
2010-10-06,5.6536455154418945
2010-10-07,5.624927520751953
2010-10-08,5.651594638824463
2010-10-11,5.659800052642822
2010-10-12,5.606463432312012
2010-10-13,5.668004989624023
2010-10-14,5.600309371948242
2010-10-15,5.6126179695129395
2010-10-18,5.626978874206543
2010-10-19,5.616721153259277
2010-10-20,5.7008280754089355
2010-10-21,5.7090349197387695
2010-10-22,5.760318279266357
2010-10-25,5.745957851409912
2010-10-26,5.620822906494141
2010-10-27,5.588000774383545
2010-10-28,5.639285564422607
2010-10-29,5.635183334350586
2010-11-01,5.606463432312012
2010-11-02,5.723393440246582
