Date,TECH
2010-09-29,13.266573905944824
2010-09-30,13.392403602600098
2010-10-01,13.407591819763184
2010-10-04,13.325148582458496
2010-10-05,13.618036270141602
2010-10-06,13.535593032836914
2010-10-07,13.477020263671875
2010-10-08,13.420608520507812
2010-10-11,13.396744728088379
2010-10-12,13.500877380371094
2010-10-13,13.418441772460938
2010-10-14,13.420608520507812
2010-10-15,13.490034103393555
2010-10-18,13.685291290283203
2010-10-19,13.36203384399414
2010-10-20,13.633221626281738
2010-10-21,13.86970043182373
2010-10-22,13.947803497314453
2010-10-25,13.919595718383789
2010-10-26,13.142912864685059
2010-10-27,13.223185539245605
2010-10-28,13.333829879760742
2010-10-29,13.216675758361816
2010-11-01,13.266573905944824
2010-11-02,13.301285743713379
2010-11-03,13.273083686828613
