Date,TAP
2010-09-29,32.929656982421875
2010-09-30,32.89481735229492
2010-10-01,33.28491973876953
2010-10-04,33.15952682495117
2010-10-05,33.668087005615234
2010-10-06,34.04425811767578
2010-10-07,33.932804107666016
2010-10-08,34.246280670166016
2010-10-11,34.25325393676758
2010-10-12,33.918861389160156
2010-10-13,34.03031921386719
2010-10-14,33.981563568115234
2010-10-15,33.932804107666016
2010-10-18,33.28491973876953
2010-10-19,32.720680236816406
2010-10-20,32.74851989746094
2010-10-21,33.18741226196289
2010-10-22,33.80740737915039
2010-10-25,33.79347229003906
2010-10-26,33.22224044799805
2010-10-27,32.602237701416016
2010-10-28,32.379310607910156
2010-10-29,32.90178680419922
2010-11-01,33.18741226196289
2010-11-02,32.89481735229492
2010-11-03,34.19057083129883
