Date,CAT
2010-09-29,54.900909423828125
2010-09-30,54.00178909301758
2010-10-01,53.68607711791992
2010-10-04,53.03404998779297
2010-10-05,54.4959602355957
2010-10-06,54.27632141113281
2010-10-07,54.04294967651367
2010-10-08,55.16173553466797
2010-10-11,54.8940544128418
2010-10-12,54.454776763916016
2010-10-13,55.10681915283203
2010-10-14,54.845985412597656
2010-10-15,54.736183166503906
2010-10-18,55.072486877441406
2010-10-19,53.91256332397461
2010-10-20,55.127384185791016
2010-10-21,54.44417190551758
2010-10-22,54.057701110839844
2010-10-25,54.55459976196289
2010-10-26,54.278526306152344
2010-10-27,53.98179244995117
2010-10-28,53.65052795410156
2010-10-29,54.24405288696289
2010-11-01,54.706424713134766
2010-11-02,55.03768539428711
2010-11-03,55.12738800048828
