Date,TFC
2010-09-29,14.402305603027344
2010-09-30,14.301344871520996
2010-10-01,14.473576545715332
2010-10-04,14.295402526855469
2010-10-05,14.42605972290039
2010-10-06,14.432002067565918
2010-10-07,14.295402526855469
2010-10-08,14.004384994506836
2010-10-11,13.956875801086426
2010-10-12,14.14692211151123
2010-10-13,13.973602294921875
2010-10-14,13.674759864807129
2010-10-15,13.53132152557373
2010-10-18,13.824179649353027
2010-10-19,13.698670387268066
2010-10-20,13.698670387268066
2010-10-21,13.519369125366211
2010-10-22,13.519369125366211
2010-10-25,13.340065002441406
2010-10-26,13.447647094726562
2010-10-27,13.471552848815918
2010-10-28,13.866019248962402
2010-10-29,13.991531372070312
2010-11-01,13.59108829498291
2010-11-02,13.692697525024414
2010-11-03,13.776366233825684
2010-11-04,14.463695526123047
