Date,CCI
2010-09-29,27.901464462280273
2010-09-30,27.94577407836914
2010-10-01,27.92045783996582
2010-10-04,27.603971481323242
2010-10-05,27.88881492614746
2010-10-06,27.41408348083496
2010-10-07,27.26850128173828
2010-10-08,26.926685333251953
2010-10-11,26.67982292175293
2010-10-12,26.47727394104004
2010-10-13,26.86972427368164
2010-10-14,27.141895294189453
2010-10-15,26.85073471069336
2010-10-18,26.65450668334961
2010-10-19,26.375999450683594
2010-10-20,26.80642318725586
2010-10-21,26.730466842651367
2010-10-22,26.939346313476562
2010-10-25,26.951993942260742
2010-10-26,27.053293228149414
2010-10-27,26.66718101501465
2010-10-28,26.989994049072266
2010-10-29,27.293813705444336
2010-11-01,27.388763427734375
2010-11-02,27.40142059326172
2010-11-03,27.40774917602539
