Date,RCL
2010-09-29,26.3725528717041
2010-09-30,26.20631980895996
2010-10-01,26.563718795776367
2010-10-04,25.998533248901367
2010-10-05,27.30344581604004
2010-10-06,27.394872665405273
2010-10-07,27.12890625
2010-10-08,28.26758575439453
2010-10-11,28.059797286987305
2010-10-12,28.292522430419922
2010-10-13,29.040571212768555
2010-10-14,28.716411590576172
2010-10-15,28.899263381958008
2010-10-18,29.082117080688477
2010-10-19,27.486309051513672
2010-10-20,28.26758575439453
2010-10-21,28.392253875732422
2010-10-22,28.982383728027344
2010-10-25,29.21510887145996
2010-10-26,33.437374114990234
2010-10-27,32.88880920410156
2010-10-28,33.22127914428711
2010-10-29,32.8638801574707
2010-11-01,32.622825622558594
2010-11-02,32.988548278808594
2010-11-03,34.04411315917969
2010-11-04,35.10799026489258
