Date,GL
2010-09-29,20.736940383911133
2010-09-30,20.651443481445312
2010-10-01,20.72527503967285
2010-10-04,20.5465087890625
2010-10-05,21.312091827392578
2010-10-06,21.176082611083984
2010-10-07,20.9739933013916
2010-10-08,21.152759552001953
2010-10-11,21.144990921020508
2010-10-12,21.246034622192383
2010-10-13,21.331527709960938
2010-10-14,21.21883201599121
2010-10-15,21.179962158203125
2010-10-18,21.4714298248291
2010-10-19,21.047832489013672
2010-10-20,21.366504669189453
2010-10-21,21.52195167541504
2010-10-22,21.518064498901367
2010-10-25,21.572481155395508
2010-10-26,21.66574478149414
2010-10-27,21.595787048339844
2010-10-28,22.2758846282959
2010-10-29,22.260339736938477
2010-11-01,21.984420776367188
2010-11-02,22.322513580322266
2010-11-03,22.42356300354004
2010-11-04,22.994834899902344
