Date,FDX
2010-09-29,72.62358856201172
2010-09-30,71.89205932617188
2010-10-01,72.0097885131836
2010-10-04,71.83322143554688
2010-10-05,73.8511962890625
2010-10-06,73.47283172607422
2010-10-07,72.9347152709961
2010-10-08,74.57435607910156
2010-10-11,74.33052825927734
2010-10-12,73.97733306884766
2010-10-13,75.46564483642578
2010-10-14,75.1629409790039
2010-10-15,75.3563232421875
2010-10-18,75.2302017211914
2010-10-19,73.27103424072266
2010-10-20,74.76770782470703
2010-10-21,74.47344970703125
2010-10-22,74.71727752685547
2010-10-25,75.3058853149414
2010-10-26,75.37313079833984
2010-10-27,74.10346984863281
2010-10-28,74.69209289550781
2010-10-29,73.75872802734375
2010-11-01,72.66561126708984
2010-11-02,73.17854309082031
2010-11-03,73.52327728271484
2010-11-04,74.66683959960938
