Date,BG
2010-09-29,42.562191009521484
2010-09-30,41.150177001953125
2010-10-01,39.96074295043945
2010-10-04,40.08596420288086
2010-10-05,40.232017517089844
2010-10-06,40.40592956542969
2010-10-07,40.87196731567383
2010-10-08,41.99182891845703
2010-10-11,42.64565658569336
2010-10-12,42.31875991821289
2010-10-13,42.882164001464844
2010-10-14,42.4578742980957
2010-10-15,42.18659210205078
2010-10-18,42.27702331542969
2010-10-19,41.76229476928711
2010-10-20,42.18659210205078
2010-10-21,42.59697341918945
2010-10-22,42.94477081298828
2010-10-25,43.515132904052734
2010-10-26,43.27169418334961
2010-10-27,42.91694259643555
2010-10-28,41.00410461425781
2010-10-29,41.78314208984375
2010-11-01,42.18659210205078
2010-11-02,41.692718505859375
2010-11-03,41.50493621826172
2010-11-04,42.16571807861328
