Date,IPG
2010-09-28,6.307584762573242
2010-09-29,6.251543045043945
2010-09-30,6.2453203201293945
2010-10-01,6.320040702819824
2010-10-04,6.21418571472168
2010-10-05,6.531745910644531
2010-10-06,6.382304668426514
2010-10-07,6.382304668426514
2010-10-08,6.519290924072266
2010-10-11,6.668731212615967
2010-10-12,6.6313700675964355
2010-10-13,6.681184768676758
2010-10-14,6.575328350067139
2010-10-15,6.7309980392456055
2010-10-18,6.612692356109619
2010-10-19,6.3760786056518555
2010-10-20,6.587785243988037
2010-10-21,6.581557750701904
2010-10-22,6.494383811950684
2010-10-25,6.612692356109619
2010-10-26,6.600236892700195
2010-10-27,6.550426959991455
2010-10-28,6.488158226013184
2010-10-29,6.444571018218994
2010-11-01,6.351173400878906
2010-11-02,6.519290924072266
