Date,BAX
2010-09-29,19.39077377319336
2010-09-30,19.42742347717285
2010-10-01,19.402990341186523
2010-10-04,19.374488830566406
2010-10-05,19.679882049560547
2010-10-06,19.773542404174805
2010-10-07,19.86312484741211
2010-10-08,20.017864227294922
2010-10-11,20.095226287841797
2010-10-12,20.12372398376465
2010-10-13,20.11152458190918
2010-10-14,20.14409065246582
2010-10-15,19.8549747467041
2010-10-18,19.95271110534668
2010-10-19,19.789819717407227
2010-10-20,20.11152458190918
2010-10-21,20.795608520507812
2010-10-22,20.81596565246582
2010-10-25,20.534996032714844
2010-10-26,20.76710319519043
2010-10-27,20.685667037963867
2010-10-28,20.75489044189453
2010-10-29,20.73859977722168
2010-11-01,20.61237335205078
2010-11-02,20.701955795288086
2010-11-03,20.644941329956055
