Date,UNP
2010-09-29,29.903501510620117
2010-09-30,29.73990821838379
2010-10-01,29.459962844848633
2010-10-04,29.096384048461914
2010-10-05,29.965314865112305
2010-10-06,30.28162384033203
2010-10-07,30.405235290527344
2010-10-08,30.852415084838867
2010-10-11,30.925138473510742
2010-10-12,30.34343719482422
2010-10-13,31.56502914428711
2010-10-14,31.314157485961914
2010-10-15,30.97967529296875
2010-10-18,31.05965805053711
2010-10-19,30.652463912963867
2010-10-20,31.190542221069336
2010-10-21,30.997859954833984
2010-10-22,31.379600524902344
2010-10-25,31.699542999267578
2010-10-26,31.761354446411133
2010-10-27,31.05965805053711
2010-10-28,31.28506851196289
2010-10-29,31.877716064453125
2010-11-01,32.32123947143555
2010-11-02,32.702980041503906
2010-11-03,33.095638275146484
