Date,AMT
2010-09-29,38.5732421875
2010-09-30,38.178497314453125
2010-10-01,38.44662094116211
2010-10-04,38.0295295715332
2010-10-05,38.6402702331543
2010-10-06,37.798648834228516
2010-10-07,37.545413970947266
2010-10-08,37.515621185302734
2010-10-11,37.247474670410156
2010-10-12,37.70181655883789
2010-10-13,37.80609893798828
2010-10-14,38.26786804199219
2010-10-15,37.84333038330078
2010-10-18,37.60499572753906
2010-10-19,37.08363342285156
2010-10-20,37.5752067565918
2010-10-21,37.25495147705078
2010-10-22,37.40391540527344
2010-10-25,37.84333038330078
2010-10-26,37.86567687988281
2010-10-27,37.761409759521484
2010-10-28,38.5360107421875
2010-10-29,38.43919372558594
2010-11-01,38.5732421875
2010-11-02,38.6402702331543
2010-11-03,38.826473236083984
2010-11-04,39.0350227355957
