Date,MCD
2010-09-29,49.8566780090332
2010-09-30,49.896881103515625
2010-10-01,50.17145919799805
2010-10-04,50.19154357910156
2010-10-05,50.774139404296875
2010-10-06,50.60000991821289
2010-10-07,50.80093002319336
2010-10-08,50.96162796020508
2010-10-11,50.6201057434082
2010-10-12,50.6134147644043
2010-10-13,50.727256774902344
2010-10-14,51.59111785888672
2010-10-15,51.88579177856445
2010-10-18,51.77863693237305
2010-10-19,51.557655334472656
2010-10-20,51.838905334472656
2010-10-21,52.52867889404297
2010-10-22,52.602325439453125
2010-10-25,52.7027702331543
2010-10-26,52.742977142333984
2010-10-27,51.88579177856445
2010-10-28,51.88579177856445
2010-10-29,52.07997512817383
2010-11-01,52.15365982055664
2010-11-02,52.50189208984375
2010-11-03,52.5688362121582
2010-11-04,53.02422332763672
