Date,WAB
2010-09-29,22.43608856201172
2010-09-30,22.342594146728516
2010-10-01,22.2724609375
2010-10-04,21.96857261657715
2010-10-05,22.529592514038086
2010-10-06,22.543617248535156
2010-10-07,22.45945930480957
2010-10-08,22.72127342224121
2010-10-11,22.6651668548584
2010-10-12,22.506216049194336
2010-10-13,22.819456100463867
2010-10-14,22.62309455871582
2010-10-15,22.52023696899414
2010-10-18,22.534269332885742
2010-10-19,22.0714168548584
2010-10-20,22.492198944091797
2010-10-21,22.454792022705078
2010-10-22,22.394010543823242
2010-10-25,22.38933563232422
2010-10-26,22.32855796813965
2010-10-27,22.04336929321289
2010-10-28,21.67870330810547
2010-10-29,21.898447036743164
2010-11-01,21.940519332885742
2010-11-02,22.192983627319336
2010-11-03,22.267780303955078
2010-11-04,22.590377807617188
