Date,AXP
2010-09-29,34.76066970825195
2010-09-30,33.96863555908203
2010-10-01,33.766578674316406
2010-10-04,31.560199737548828
2010-10-05,30.937885284423828
2010-10-06,30.872928619384766
2010-10-07,30.710519790649414
2010-10-08,30.848567962646484
2010-10-11,30.807947158813477
2010-10-12,31.29517936706543
2010-10-13,31.87982749938965
2010-10-14,32.02598571777344
2010-10-15,31.741785049438477
2010-10-18,32.11530303955078
2010-10-19,31.92043113708496
2010-10-20,32.261470794677734
2010-10-21,32.699974060058594
2010-10-22,31.693071365356445
2010-10-25,31.912302017211914
2010-10-26,32.56193923950195
2010-10-27,33.03289031982422
2010-10-28,33.47138595581055
2010-10-29,33.666263580322266
2010-11-01,33.747467041015625
2010-11-02,34.42144012451172
2010-11-03,34.16159439086914
