Date,AFL
2010-09-29,18.002424240112305
2010-09-30,18.051301956176758
2010-10-01,18.173477172851562
2010-10-04,17.960529327392578
2010-10-05,18.410860061645508
2010-10-06,18.75994110107422
2010-10-07,18.707578659057617
2010-10-08,18.972883224487305
2010-10-11,18.976377487182617
2010-10-12,19.025251388549805
2010-10-13,19.1369571685791
2010-10-14,19.140439987182617
2010-10-15,19.032238006591797
2010-10-18,19.423198699951172
2010-10-19,19.09505844116211
2010-10-20,19.210264205932617
2010-10-21,19.28357696533203
2010-10-22,19.360366821289062
2010-10-25,19.287065505981445
2010-10-26,19.266115188598633
2010-10-27,19.685016632080078
2010-10-28,19.62567710876465
2010-10-29,19.51047706604004
2010-11-01,19.520952224731445
2010-11-02,19.688518524169922
2010-11-03,19.789751052856445
