Date,NRG
2010-09-29,15.62533187866211
2010-09-30,15.632843017578125
2010-10-01,15.835573196411133
2010-10-04,15.61782169342041
2010-10-05,15.963214874267578
2010-10-06,16.105880737304688
2010-10-07,16.135915756225586
2010-10-08,16.000762939453125
2010-10-11,15.873117446899414
2010-10-12,15.752978324890137
2010-10-13,15.933184623718262
2010-10-14,15.692906379699707
2010-10-15,15.662878036499023
2010-10-18,15.662878036499023
2010-10-19,15.362525939941406
2010-10-20,15.430108070373535
2010-10-21,15.272432327270508
2010-10-22,15.197346687316895
2010-10-25,15.152298927307129
2010-10-26,15.12225341796875
2010-10-27,14.949555397033691
2010-10-28,14.859458923339844
2010-10-29,14.949555397033691
2010-11-01,14.821907997131348
2010-11-02,14.934537887573242
2010-11-03,15.0471773147583
2010-11-04,14.964579582214355
