Date,LLY
2010-09-29,25.049217224121094
2010-09-30,25.049217224121094
2010-10-01,25.056089401245117
2010-10-04,24.89150619506836
2010-10-05,25.296079635620117
2010-10-06,25.488079071044922
2010-10-07,25.42636489868164
2010-10-08,25.41951560974121
2010-10-11,25.522371292114258
2010-10-12,25.61836051940918
2010-10-13,25.64579963684082
2010-10-14,25.659513473510742
2010-10-15,25.892654418945312
2010-10-18,26.098365783691406
2010-10-19,25.68008041381836
2010-10-20,24.692651748657227
2010-10-21,24.342945098876953
2010-10-22,24.274372100830078
2010-10-25,24.089218139648438
2010-10-26,23.93151092529297
2010-10-27,23.958932876586914
2010-10-28,24.10293197631836
2010-10-29,24.13722038269043
2010-11-01,24.027509689331055
2010-11-02,24.260644912719727
2010-11-03,24.390941619873047
2010-11-04,24.52121925354004
