Date,GPC
2010-09-29,29.29170036315918
2010-09-30,29.07651710510254
2010-10-01,29.05042839050293
2010-10-04,28.972190856933594
2010-10-05,29.13519859313965
2010-10-06,29.161283493041992
2010-10-07,29.13519859313965
2010-10-08,29.35691261291504
2010-10-11,29.38299560546875
2010-10-12,29.493844985961914
2010-10-13,29.793811798095703
2010-10-14,29.696002960205078
2010-10-15,31.10450553894043
2010-10-18,31.274044036865234
2010-10-19,30.80455780029297
2010-10-20,31.05234146118164
2010-10-21,31.026243209838867
2010-10-22,30.967565536499023
2010-10-25,31.084943771362305
2010-10-26,30.947999954223633
2010-10-27,30.778465270996094
2010-10-28,31.03928565979004
2010-10-29,31.208837509155273
2010-11-01,30.93496322631836
2010-11-02,31.16319465637207
2010-11-03,31.058866500854492
2010-11-04,31.03928565979004
