Date,PCAR
2010-09-29,18.70098304748535
2010-09-30,18.917064666748047
2010-10-01,18.96813201904297
2010-10-04,18.68920135498047
2010-10-05,19.50637435913086
2010-10-06,19.313865661621094
2010-10-07,19.341371536254883
2010-10-08,19.74210548400879
2010-10-11,19.74210548400879
2010-10-12,19.588878631591797
2010-10-13,19.87175750732422
2010-10-14,19.706745147705078
2010-10-15,19.82853889465332
2010-10-18,19.812820434570312
2010-10-19,19.447450637817383
2010-10-20,19.95818328857422
2010-10-21,19.95032501220703
2010-10-22,19.946399688720703
2010-10-25,20.056406021118164
2010-10-26,19.954254150390625
2010-10-27,19.989614486694336
2010-10-28,20.115331649780273
2010-10-29,20.138912200927734
2010-11-01,20.43356704711914
2010-11-02,20.80287742614746
2010-11-03,20.7557315826416
