Date,RF
2010-09-27,4.650177001953125
2010-09-28,4.736909866333008
2010-09-29,4.810298442840576
2010-09-30,4.850327491760254
2010-10-01,4.790282249450684
2010-10-04,4.830312728881836
2010-10-05,5.030463218688965
2010-10-06,5.003777980804443
2010-10-07,4.910375595092773
2010-10-08,4.950404644012451
2010-10-11,4.8836870193481445
2010-10-12,4.983760356903076
2010-10-13,4.870344638824463
2010-10-14,4.783612251281738
2010-10-15,4.710222244262695
2010-10-18,4.903701305389404
2010-10-19,4.897029399871826
2010-10-20,4.857002258300781
2010-10-21,4.857002258300781
2010-10-22,4.7635979652404785
2010-10-25,4.690207004547119
2010-10-26,4.323262691497803
2010-10-27,4.249874591827393
2010-10-28,4.196502685546875
2010-10-29,4.203175067901611
2010-11-01,4.156471252441406
2010-11-02,4.083083629608154
