Date,RL
2010-09-29,70.13053894042969
2010-09-30,69.95150756835938
2010-10-01,70.30181121826172
2010-10-04,71.03352355957031
2010-10-05,72.36469268798828
2010-10-06,71.3293685913086
2010-10-07,70.90119934082031
2010-10-08,72.32577514648438
2010-10-11,72.95630645751953
2010-10-12,72.95630645751953
2010-10-13,73.48566436767578
2010-10-14,73.22876739501953
2010-10-15,74.16292572021484
2010-10-18,74.46648406982422
2010-10-19,72.50484466552734
2010-10-20,72.87847900390625
2010-10-21,72.51258850097656
2010-10-22,73.19761657714844
2010-10-25,73.82042694091797
2010-10-26,75.11262512207031
2010-10-27,73.42338562011719
2010-10-28,73.11199188232422
2010-10-29,75.41619873046875
2010-11-01,75.08924102783203
2010-11-02,75.50962829589844
2010-11-03,75.22161865234375
2010-11-04,77.32339477539062
