Date,HBAN
2010-09-20,3.619499683380127
2010-09-21,3.571239471435547
2010-09-22,3.4867846965789795
2010-09-23,3.3962979316711426
2010-09-24,3.5229804515838623
2010-09-27,3.462656259536743
2010-09-28,3.450589418411255
2010-09-29,3.402329444885254
2010-09-30,3.432492733001709
2010-10-01,3.4445581436157227
2010-10-04,3.438525438308716
2010-10-05,3.5833046436309814
2010-10-06,3.553143262863159
2010-10-07,3.5591750144958496
2010-10-08,3.535043478012085
2010-10-11,3.5109145641326904
2010-10-12,3.5833046436309814
2010-10-13,3.5471103191375732
2010-10-14,3.4566214084625244
2010-10-15,3.432492733001709
2010-10-18,3.462656259536743
2010-10-19,3.4566214084625244
2010-10-20,3.3782002925872803
2010-10-21,3.3902649879455566
2010-10-22,3.432492733001709
2010-10-25,3.408362865447998
