Date,LUV
2010-09-29,11.50387954711914
2010-09-30,11.399218559265137
2010-10-01,11.28583812713623
2010-10-04,11.181178092956543
2010-10-05,11.355610847473145
2010-10-06,11.28583812713623
2010-10-07,11.233505249023438
2010-10-08,11.373055458068848
2010-10-11,11.216065406799316
2010-10-12,11.329445838928223
2010-10-13,11.31200122833252
2010-10-14,11.216065406799316
2010-10-15,11.29455852508545
2010-10-18,11.355610847473145
2010-10-19,11.067794799804688
2010-10-20,11.47771167755127
2010-10-21,11.878911018371582
2010-10-22,11.748086929321289
2010-10-25,11.809137344360352
2010-10-26,11.835299491882324
2010-10-27,12.00101375579834
2010-10-28,12.00101375579834
2010-10-29,12.00101375579834
2010-11-01,12.096951484680176
2010-11-02,12.280109405517578
2010-11-03,12.306273460388184
2010-11-04,12.419652938842773
