Date,MSI
2010-09-29,27.202587127685547
2010-09-30,27.107257843017578
2010-10-01,27.202587127685547
2010-10-04,26.88479995727539
2010-10-05,27.456819534301758
2010-10-06,27.202587127685547
2010-10-07,27.297929763793945
2010-10-08,26.376338958740234
2010-10-11,26.344575881958008
2010-10-12,25.836105346679688
2010-10-13,25.8043212890625
2010-10-14,25.29585838317871
2010-10-15,25.26408576965332
2010-10-18,25.07341194152832
2010-10-19,25.07341194152832
2010-10-20,25.29585838317871
2010-10-21,24.660293579101562
2010-10-22,24.882741928100586
2010-10-25,25.200529098510742
2010-10-26,24.978086471557617
2010-10-27,25.70899200439453
2010-10-28,25.836105346679688
2010-10-29,25.931446075439453
2010-11-01,25.486543655395508
2010-11-02,25.422985076904297
2010-11-03,25.581878662109375
2010-11-04,25.74076271057129
