Date,UDR
2010-09-29,12.374856948852539
2010-09-30,12.427811622619629
2010-10-01,12.610222816467285
2010-10-04,12.627880096435547
2010-10-05,12.78087329864502
2010-10-06,12.727912902832031
2010-10-07,12.669072151184082
2010-10-08,12.757338523864746
2010-10-11,12.739680290222168
2010-10-12,12.810293197631836
2010-10-13,12.979435920715332
2010-10-14,12.902283668518066
2010-10-15,12.902283668518066
2010-10-18,13.204959869384766
2010-10-19,13.015046119689941
2010-10-20,13.276176452636719
2010-10-21,13.258373260498047
2010-10-22,13.513572692871094
2010-10-25,13.454218864440918
2010-10-26,13.388940811157227
2010-10-27,13.341458320617676
2010-10-28,13.276176452636719
2010-10-29,13.341458320617676
2010-11-01,13.448288917541504
2010-11-02,13.359264373779297
2010-11-03,13.590731620788574
