Date,KMB
2010-09-29,37.698707580566406
2010-09-30,37.69290542602539
2010-10-01,37.68132781982422
2010-10-04,37.76823043823242
2010-10-05,37.95945358276367
2010-10-06,38.26655960083008
2010-10-07,38.28974914550781
2010-10-08,38.50413131713867
2010-10-11,38.43460464477539
2010-10-12,38.64320373535156
2010-10-13,38.718528747558594
2010-10-14,38.49834442138672
2010-10-15,38.46355438232422
2010-10-18,38.71273422241211
2010-10-19,38.28395080566406
2010-10-20,38.5794677734375
2010-10-21,38.741703033447266
2010-10-22,38.56785202026367
2010-10-25,38.515724182128906
2010-10-26,36.27906036376953
2010-10-27,36.1284065246582
2010-10-28,36.238494873046875
2010-10-29,36.70205307006836
2010-11-01,36.02410888671875
2010-11-02,36.47607421875
2010-11-03,36.48765563964844
2010-11-04,36.493465423583984
