Date,COP
2010-09-29,26.290302276611328
2010-09-30,26.322397232055664
2010-10-01,26.51947021484375
2010-10-04,26.244478225708008
2010-10-05,26.945720672607422
2010-10-06,27.362829208374023
2010-10-07,27.367403030395508
2010-10-08,27.321571350097656
2010-10-11,27.404071807861328
2010-10-12,27.321571350097656
2010-10-13,27.559904098510742
2010-10-14,27.64699363708496
2010-10-15,27.85782241821289
2010-10-18,28.077831268310547
2010-10-19,27.500322341918945
2010-10-20,28.082422256469727
2010-10-21,28.01365089416504
2010-10-22,28.2657413482666
2010-10-25,28.114503860473633
2010-10-26,28.12824058532715
2010-10-27,27.786014556884766
2010-10-28,27.554759979248047
2010-10-29,27.46689796447754
2010-11-01,27.26339340209961
2010-11-02,27.443767547607422
2010-11-03,27.47614288330078
2010-11-04,28.327104568481445
