Date,AMP
2010-09-29,34.79085159301758
2010-09-30,34.36249923706055
2010-10-01,34.674678802490234
2010-10-04,34.754547119140625
2010-10-05,35.92345428466797
2010-10-06,36.41713333129883
2010-10-07,36.30096435546875
2010-10-08,36.25015640258789
2010-10-11,36.083152770996094
2010-10-12,36.27192687988281
2010-10-13,36.395347595214844
2010-10-14,36.4752197265625
2010-10-15,36.25015640258789
2010-10-18,37.317413330078125
2010-10-19,36.77287673950195
2010-10-20,37.20849609375
2010-10-21,37.273826599121094
2010-10-22,37.04150390625
2010-10-25,37.164920806884766
2010-10-26,36.71479797363281
2010-10-27,36.9180793762207
2010-10-28,38.79121398925781
2010-10-29,37.52793884277344
2010-11-01,37.3028678894043
2010-11-02,37.96356201171875
2010-11-03,37.89094161987305
2010-11-04,39.144020080566406
