Date,COF
2010-09-29,30.84961700439453
2010-09-30,31.340900421142578
2010-10-01,31.142805099487305
2010-10-04,30.56433868408203
2010-10-05,32.00656509399414
2010-10-06,31.824302673339844
2010-10-07,31.11903190612793
2010-10-08,31.190353393554688
2010-10-11,31.443941116333008
2010-10-12,32.149192810058594
2010-10-13,32.03828430175781
2010-10-14,31.610347747802734
2010-10-15,29.209259033203125
2010-10-18,29.502460479736328
2010-10-19,30.714889526367188
2010-10-20,30.706968307495117
2010-10-21,31.142805099487305
2010-10-22,31.00016212463379
2010-10-25,30.302837371826172
2010-10-26,29.93037986755371
2010-10-27,30.041311264038086
2010-10-28,30.049238204956055
2010-10-29,29.534162521362305
2010-11-01,29.56586265563965
2010-11-02,29.613401412963867
2010-11-03,29.922443389892578
2010-11-04,31.142805099487305
