Date,COR
2010-09-29,21.333274841308594
2010-09-30,21.263917922973633
2010-10-01,21.39569854736328
2010-10-04,21.31940269470215
2010-10-05,21.846487045288086
2010-10-06,21.735536575317383
2010-10-07,21.978261947631836
2010-10-08,21.96439552307129
2010-10-11,22.04762077331543
2010-10-12,22.23488426208496
2010-10-13,22.44987678527832
2010-10-14,22.40826416015625
2010-10-15,22.39439582824707
2010-10-18,22.429059982299805
2010-10-19,21.888105392456055
2010-10-20,22.082300186157227
2010-10-21,22.442943572998047
2010-10-22,22.23488426208496
2010-10-25,22.214069366455078
2010-10-26,22.491477966308594
2010-10-27,23.039384841918945
2010-10-28,23.17115020751953
2010-10-29,22.768901824951172
2010-11-01,22.74117088317871
2010-11-02,22.15859031677246
2010-11-03,21.97133445739746
