Date,DVN
2010-09-29,42.378395080566406
2010-09-30,42.31955337524414
2010-10-01,42.652923583984375
2010-10-04,42.06461715698242
2010-10-05,42.73790740966797
2010-10-06,43.33930206298828
2010-10-07,43.032066345214844
2010-10-08,43.64653396606445
2010-10-11,43.88838577270508
2010-10-12,43.69227600097656
2010-10-13,44.189083099365234
2010-10-14,44.136783599853516
2010-10-15,44.22831344604492
2010-10-18,45.01272201538086
2010-10-19,43.718441009521484
2010-10-20,44.09758377075195
2010-10-21,43.385066986083984
2010-10-22,42.639862060546875
2010-10-25,42.502593994140625
2010-10-26,42.22150421142578
2010-10-27,42.286861419677734
2010-10-28,42.313011169433594
2010-10-29,42.502593994140625
2010-11-01,42.71175765991211
2010-11-02,43.097434997558594
2010-11-03,44.59436798095703
2010-11-04,45.49645233154297
