Date,AMAT
2010-09-29,9.202360153198242
2010-09-30,9.202360153198242
2010-10-01,9.225997924804688
2010-10-04,9.052665710449219
2010-10-05,9.34417724609375
2010-10-06,9.241756439208984
2010-10-07,9.241756439208984
2010-10-08,9.312667846679688
2010-10-11,9.312667846679688
2010-10-12,9.422967910766602
2010-10-13,9.430843353271484
2010-10-14,9.383572578430176
2010-10-15,9.47023868560791
2010-10-18,9.415087699890137
2010-10-19,9.281150817871094
2010-10-20,9.407207489013672
2010-10-21,9.37569522857666
2010-10-22,9.556905746459961
2010-10-25,9.57266616821289
2010-10-26,9.525390625
2010-10-27,9.643568992614746
2010-10-28,9.651450157165527
2010-10-29,9.730237007141113
2010-11-01,9.745991706848145
2010-11-02,9.832660675048828
2010-11-03,9.879935264587402
