Date,GEN
2010-09-28,5.636074066162109
2010-09-29,5.657820224761963
2010-09-30,5.483846664428711
2010-10-01,5.5817084312438965
2010-10-04,5.443976402282715
2010-10-05,5.538215160369873
2010-10-06,5.4113569259643555
2010-10-07,5.447601795196533
2010-10-08,5.44035530090332
2010-10-11,5.498344898223877
2010-10-12,5.578082084655762
2010-10-13,5.654198169708252
2010-10-14,5.639700889587402
2010-10-15,5.7013163566589355
2010-10-18,5.657820224761963
2010-10-19,5.62157678604126
2010-10-20,5.650572299957275
2010-10-21,5.639700889587402
2010-10-22,5.6904425621032715
2010-10-25,5.719438552856445
2010-10-26,5.759308338165283
2010-10-27,5.726686477661133
2010-10-28,5.9622802734375
2010-10-29,5.868042945861816
2010-11-01,5.93690824508667
2010-11-02,6.049267292022705
