Date,SWKS
2010-09-29,17.068483352661133
2010-09-30,16.856456756591797
2010-10-01,16.840150833129883
2010-10-04,16.55472183227539
2010-10-05,17.076644897460938
2010-10-06,16.44870376586914
2010-10-07,16.37531089782715
2010-10-08,16.717823028564453
2010-10-11,16.72597885131836
2010-10-12,17.296829223632812
2010-10-13,17.329452514648438
2010-10-14,17.386537551879883
2010-10-15,17.794292449951172
2010-10-18,17.639347076416016
2010-10-19,17.34575653076172
2010-10-20,17.541484832763672
2010-10-21,16.889076232910156
2010-10-22,17.517017364501953
2010-10-25,17.91661834716797
2010-10-26,17.663806915283203
2010-10-27,18.634262084960938
2010-10-28,18.495622634887695
2010-10-29,18.69133758544922
2010-11-01,18.438533782958984
2010-11-02,18.77289581298828
2010-11-03,18.56085968017578
