Date,CB
2010-09-29,42.52284240722656
2010-09-30,42.898433685302734
2010-10-01,42.85425567626953
2010-10-04,42.787967681884766
2010-10-05,43.81901931762695
2010-10-06,43.52444076538086
2010-10-07,43.45814514160156
2010-10-08,43.3845100402832
2010-10-11,43.58333969116211
2010-10-12,43.95894241333008
2010-10-13,43.95894241333008
2010-10-14,43.995750427246094
2010-10-15,43.9442024230957
2010-10-18,44.4818229675293
2010-10-19,43.75273895263672
2010-10-20,44.60701370239258
2010-10-21,44.50392532348633
2010-10-22,44.46709442138672
2010-10-25,44.71748352050781
2010-10-26,45.115177154541016
2010-10-27,44.518638610839844
2010-10-28,43.95894241333008
2010-10-29,43.76008605957031
2010-11-01,44.40818405151367
2010-11-02,44.60701370239258
2010-11-03,44.584930419921875
2010-11-04,45.851627349853516
