Date,TER
2010-09-29,10.419791221618652
2010-09-30,10.272252082824707
2010-10-01,10.235371589660645
2010-10-04,10.069393157958984
2010-10-05,10.41057014465332
2010-10-06,10.281476974487305
2010-10-07,10.299918174743652
2010-10-08,10.097053527832031
2010-10-11,10.336800575256348
2010-10-12,10.401347160339355
2010-10-13,10.475117683410645
2010-10-14,10.281476974487305
2010-10-15,10.512001037597656
2010-10-18,10.521222114562988
2010-10-19,10.290695190429688
2010-10-20,10.39212703704834
2010-10-21,10.401347160339355
2010-10-22,10.558104515075684
2010-10-25,10.779410362243652
2010-10-26,10.83474063873291
2010-10-27,10.96383285522461
2010-10-28,10.097053527832031
2010-10-29,10.364466667175293
2010-11-01,10.364466667175293
2010-11-02,10.382905006408691
2010-11-03,10.613431930541992
