Date,MLM
2010-09-29,65.72396087646484
2010-09-30,65.6983871459961
2010-10-01,66.73115539550781
2010-10-04,66.22758483886719
2010-10-05,67.07259368896484
2010-10-06,67.62738800048828
2010-10-07,66.89334106445312
2010-10-08,67.3969497680664
2010-10-11,67.64446258544922
2010-10-12,66.6628646850586
2010-10-13,66.90187072753906
2010-10-14,67.21766662597656
2010-10-15,67.8919906616211
2010-10-18,67.14088439941406
2010-10-19,66.44094848632812
2010-10-20,67.0384292602539
2010-10-21,67.31158447265625
2010-10-22,67.35426330566406
2010-10-25,68.20780181884766
2010-10-26,68.63457489013672
2010-10-27,68.42974853515625
2010-10-28,68.17367553710938
2010-10-29,68.69435119628906
2010-11-01,68.50654602050781
2010-11-02,70.5806884765625
2010-11-03,70.23075103759766
2010-11-04,73.10721588134766
