Date,DPZ
2010-09-29,10.650157928466797
2010-09-30,10.634068489074707
2010-10-01,10.577763557434082
2010-10-04,10.529496192932129
2010-10-05,10.658201217651367
2010-10-06,10.690375328063965
2010-10-07,11.213231086730957
2010-10-08,11.40628719329834
2010-10-11,11.671735763549805
2010-10-12,11.647603034973145
2010-10-13,11.703914642333984
2010-10-14,11.711959838867188
2010-10-15,11.760221481323242
2010-10-18,11.76826286315918
2010-10-19,12.508305549621582
2010-10-20,12.54047679901123
2010-10-21,12.106107711791992
2010-10-22,12.291120529174805
2010-10-25,12.307207107543945
2010-10-26,12.35547161102295
2010-10-27,11.9693603515625
2010-10-28,11.9693603515625
2010-10-29,11.937187194824219
2010-11-01,11.9693603515625
2010-11-02,12.162420272827148
2010-11-03,12.138285636901855
