Date,MU
2010-09-29,7.120160102844238
2010-09-30,7.0420241355896
2010-10-01,7.120160102844238
2010-10-04,6.827147960662842
2010-10-05,6.768547534942627
2010-10-06,6.788080215454102
2010-10-07,6.944352626800537
2010-10-08,7.413169860839844
2010-10-11,7.491306781768799
2010-10-12,7.569442272186279
2010-10-13,7.471771717071533
2010-10-14,7.413169860839844
2010-10-15,7.432705402374268
2010-10-18,7.364335536956787
2010-10-19,7.129926681518555
2010-10-20,7.510840892791748
2010-10-21,7.325267314910889
2010-10-22,7.510840892791748
2010-10-25,7.628044605255127
2010-10-26,7.540141582489014
2010-10-27,7.784317970275879
2010-10-28,7.755016803741455
2010-10-29,8.067560195922852
2010-11-01,7.950357437133789
2010-11-02,7.921055793762207
2010-11-03,7.901522159576416
