Date,UHS
2010-09-29,36.5442008972168
2010-09-30,36.27351760864258
2010-10-01,36.11481475830078
2010-10-04,35.57343292236328
2010-10-05,35.3027229309082
2010-10-06,35.11602783203125
2010-10-07,34.92934036254883
2010-10-08,35.97480010986328
2010-10-11,36.170806884765625
2010-10-12,36.32951354980469
2010-10-13,35.90013885498047
2010-10-14,35.19071960449219
2010-10-15,35.442752838134766
2010-10-18,35.99346160888672
2010-10-19,34.733314514160156
2010-10-20,35.89079284667969
2010-10-21,35.610748291015625
2010-10-22,36.34817123413086
2010-10-25,36.60020446777344
2010-10-26,36.86157989501953
2010-10-27,36.18951416015625
2010-10-28,37.86967849731445
2010-10-29,38.52308654785156
2010-11-01,38.22439193725586
2010-11-02,38.457763671875
2010-11-03,38.59776306152344
2010-11-04,39.1578483581543
